id,clap_embedding,clap_status,clap_error
1dff287a-bf34-4e80-9505-52766d2bfda8,,failed,[Errno 2] No such file or directory: 'ffmpeg'
d30d00f8-633d-4c85-9f10-e41fc0ea4780,,failed,[Errno 2] No such file or directory: 'ffmpeg'
4368c30e-a587-483c-86df-749ee160e930,,failed,[Errno 2] No such file or directory: 'ffmpeg'
a4ba958a-994b-43ca-bae2-a60cd84ad3d3,,failed,[Errno 2] No such file or directory: 'ffmpeg'
f6ad8d62-e425-4e99-bd61-ec460691dfc6,,failed,[Errno 2] No such file or directory: 'ffmpeg'
6bc7b6cd-ff35-434b-b9f9-8fb1105a0cf3,,failed,[Errno 2] No such file or directory: 'ffmpeg'
1860aaba-71e2-49cd-8f0f-0ce1807e21c2,,failed,[Errno 2] No such file or directory: 'ffmpeg'
a7c269ed-f38b-4f15-a7b2-b692cdb53a29,,failed,[Errno 2] No such file or directory: 'ffmpeg'
3a7a8ebd-5b75-4c20-89cb-bd9906d8591b,,failed,[Errno 2] No such file or directory: 'ffmpeg'
83ab625b-736c-4ec9-acc9-6f037cd42d84,,failed,[Errno 2] No such file or directory: 'ffmpeg'
ad49e621-f522-4ff2-a665-2c2fbad16fc2,,failed,[Errno 2] No such file or directory: 'ffmpeg'
6e7fd4fd-d72a-4fcd-a29a-02f7c9267278,,failed,[Errno 2] No such file or directory: 'ffmpeg'
ca6f5410-ca34-42bc-a16d-b76d78e82435,,failed,[Errno 2] No such file or directory: 'ffmpeg'
da974a87-3062-4084-9f08-387eaa2dd9e0,,failed,[Errno 2] No such file or directory: 'ffmpeg'
c0fe394b-6f0e-4cb1-934b-52248c1fa505,,failed,[Errno 2] No such file or directory: 'ffmpeg'
46f2b755-0cbf-4e34-bbc0-701c794ab643,,failed,[Errno 2] No such file or directory: 'ffmpeg'
84cb5b23-465f-44fc-8366-5913a9350efb,,failed,[Errno 2] No such file or directory: 'ffmpeg'
a1674039-a3bb-46e7-aefb-2a1d13b11b19,,failed,[Errno 2] No such file or directory: 'ffmpeg'
3f4d5feb-8109-4f15-9d6b-93f35b6bb5b1,,failed,[Errno 2] No such file or directory: 'ffmpeg'
f11559d7-d8ac-4e78-9868-c3352e02ce66,,failed,[Errno 2] No such file or directory: 'ffmpeg'
456295c9-0560-482d-8d13-86624c48106a,,failed,[Errno 2] No such file or directory: 'ffmpeg'
a0362d27-0c3b-4259-9d59-e755da5f0833,,failed,[Errno 2] No such file or directory: 'ffmpeg'
e7215ae1-080f-493b-8d28-d04e3a1ff722,,failed,[Errno 2] No such file or directory: 'ffmpeg'
9afb3472-9dc9-498c-8948-dcf411ceb133,,failed,[Errno 2] No such file or directory: 'ffmpeg'
8e0d2a58-2a1d-4230-a358-ec74e38696f5,,failed,[Errno 2] No such file or directory: 'ffmpeg'
54a2f4b1-f5cc-4fd1-9234-f91db69a0651,,failed,[Errno 2] No such file or directory: 'ffmpeg'
d46ac973-f1f5-474d-a411-eda690d228cd,,failed,[Errno 2] No such file or directory: 'ffmpeg'
110a3f7c-1c07-4415-bc46-9e07910032ff,,failed,[Errno 2] No such file or directory: 'ffmpeg'
8cba9da9-5890-401c-92aa-f9765887ecac,,failed,[Errno 2] No such file or directory: 'ffmpeg'
115bc709-6202-4795-9efa-fe95d022de12,,failed,[Errno 2] No such file or directory: 'ffmpeg'
a6c9a674-7b08-4f06-86f5-e0f8bc375b87,,failed,[Errno 2] No such file or directory: 'ffmpeg'
750ce8bd-0652-46fd-a65c-adea236a61a4,,failed,[Errno 2] No such file or directory: 'ffmpeg'
61eeb5fc-410e-4b36-93b2-54faa0bb511f,,failed,[Errno 2] No such file or directory: 'ffmpeg'
39df7bcd-fddf-40a8-a559-0e9b3eea6b9e,,failed,[Errno 2] No such file or directory: 'ffmpeg'
52848e2d-336b-4941-9e6d-33ce4f219285,,failed,[Errno 2] No such file or directory: 'ffmpeg'
870ba226-3df5-4eef-aa42-9bc3426741c8,,failed,[Errno 2] No such file or directory: 'ffmpeg'
fcceed0d-ac1a-4c2f-ad2b-c480a46c18d0,,failed,[Errno 2] No such file or directory: 'ffmpeg'
